"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","11th","12th","13th","14th","15th","16th","17th","18th","19th","20th","Lag"
9367417,2033.43090993385,36,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
6781232,1773.0265378096,16,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
15858332,1768.74861836084,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
12941954,1768.3626167609,21,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
10910261,1764.8522875419,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
7989469,1760.25391328622,16,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
11021073,1754.46967504275,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
18948749,1734.65501530662,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
11234706,1732.7558292242,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
12805967,1732.69648951013,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
4383303,1732.4163373043,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
11889106,1730.37472438926,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
10542491,1721.38152896121,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
22461441,1713.26734907865,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
13972957,1709.57194484679,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
18781432,1707.1740439648,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
2165650,1705.35310649268,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
9098192,1703.70862149159,20,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
11688228,1701.3195274813,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
4755314,1694.12182680283,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217
