"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","Lag"
14106450,3295.44322876058,446,147,89,0,0,0,0,946
12408961,3268.63105616271,1416,617,254,0,0,0,0,1575
7562902,3041.35407336309,175,48,35,0,0,0,0,1917
7813296,3021.52847352179,779,185,103,0,0,0,0,946
11443437,3021.14591851647,1982,669,387,0,0,0,0,223
8472976,2954.06636778086,492,170,117,0,0,0,0,127
2165650,2922.93578030533,1092,282,193,0,0,0,0,2831
8116659,2919.92622956698,424,147,61,0,0,0,0,1151
4787150,2913.46759973274,162,32,28,0,0,0,0,946
1473890,2905.34494253394,569,177,109,0,0,0,0,52
9694263,2894.03249964928,952,200,160,0,0,0,0,180
8007528,2875.65012624651,349,106,47,0,0,0,0,127
8640970,2863.90255073669,1034,194,189,0,0,0,0,625
9405745,2811.35530253955,751,141,83,0,0,0,0,323
3717598,2804.46414596361,360,69,62,0,0,0,0,2005
13380270,2804.28772937559,690,98,67,0,0,0,0,180
6304246,2803.92814276082,396,94,58,0,0,0,0,1961
15173952,2792.2743914044,776,111,92,0,0,0,0,3025
1906975,2790.03705389636,174,74,37,0,0,0,0,1789
2511839,2785.19299207084,868,203,154,0,0,0,0,946
12366071,2779.80224414748,190,26,30,0,0,0,0,6043
4581069,2764.22485855685,303,65,44,0,0,0,0,70
2546001,2760.94644530528,866,155,104,0,0,0,0,52
11375105,2756.47825329781,464,85,51,0,0,0,0,127
16817965,2755.94478090294,477,96,72,0,0,0,0,915
11399348,2752.92214662913,232,104,40,0,0,0,0,1668
7787629,2752.80451637042,599,136,96,0,0,0,0,5533
8152145,2750.13504531157,424,105,63,0,0,0,0,1511
11552867,2746.45850099605,1064,178,139,0,0,0,0,2142
5199332,2741.92760923285,526,113,90,0,0,0,0,1626
7075211,2737.80189168185,520,64,70,0,0,0,0,946
1646397,2735.43759502596,442,81,56,0,0,0,0,182
8443945,2732.97517598928,459,61,52,0,0,0,0,55
4504101,2726.94056807907,123,11,9,0,0,0,0,1515
5645231,2725.73333677101,555,65,67,0,0,0,0,946
10073635,2719.33749891695,182,48,37,0,0,0,0,9045
2291265,2717.49949562497,635,109,79,0,0,0,0,52
7892320,2713.88485151319,630,118,111,0,0,0,0,948
9269034,2713.28148530287,557,92,71,0,0,0,0,1626
9052194,2709.65363836401,946,186,142,0,0,0,0,946
8195473,2704.8258277945,323,67,50,0,0,0,0,2224
11091594,2700.59582089355,413,50,64,0,0,0,0,57
12779141,2698.17328376928,611,89,77,0,0,0,0,4834
5447609,2692.48046434259,186,41,32,0,0,0,0,30875
124493,2692.35409425214,101,21,22,0,0,0,0,38540
10069909,2687.45627371093,370,56,34,0,0,0,0,109
19998548,2686.8299944161,554,133,90,0,0,0,0,55
1876565,2679.1713939152,619,127,128,0,0,0,0,1077
10549880,2678.2746726815,414,56,43,0,0,0,0,182
2558286,2672.735877531,513,114,86,0,0,0,0,227
11794209,2667.01571981468,435,66,57,0,0,0,0,16
4108547,2659.89850673194,558,64,54,0,0,0,0,227
6327638,2652.0019226357,510,55,54,0,0,0,0,695
4734703,2650.67284621359,547,96,83,0,0,0,0,129
4830687,2646.64384785511,973,98,88,0,0,0,0,948
14970132,2646.44849268792,129,45,12,0,0,0,0,2831
1719471,2641.96346296469,263,52,53,0,0,0,0,5513
6754508,2641.84334532975,419,55,38,0,0,0,0,362
11129034,2638.50460520735,1527,279,258,0,0,0,0,76
11215030,2638.3679080507,597,100,87,0,0,0,0,1000
11592896,2635.9719310375,771,75,77,0,0,0,0,52
11479551,2634.12766046135,388,78,54,0,0,0,0,319
13300203,2626.40562008619,449,77,60,0,0,0,0,227
3533958,2620.38394267642,549,59,60,0,0,0,0,948
13228917,2617.81428150414,405,74,44,0,0,0,0,9280
