"Player","Rating","Games","1st","2nd","Lag"
12408961,2967.42324647818,292,123,37,56
2165650,2671.5488740532,364,91,73,48
14106450,2636.49932249044,123,36,14,2336
7813296,2625.79487722283,224,47,26,800
11443437,2619.14060047633,744,278,138,43
8152145,2570.91736902507,103,27,11,2122
8116659,2556.8239762738,96,34,13,48
9313951,2535.8301843435,251,73,49,48
18092331,2524.41116648788,243,49,33,90
11552867,2494.80409751597,214,52,27,496
16509171,2473.00914087224,148,45,22,56
5199332,2470.44251991612,250,58,44,1493
11405734,2456.92221163661,261,94,40,7
8640970,2452.78798065168,212,26,37,496
2546001,2452.7026438554,253,38,35,219
7075211,2448.52483480418,112,17,18,77
10676573,2443.93268291594,321,63,36,7
7892320,2441.82836406806,243,47,42,516
9405745,2437.62879218972,175,36,16,48
3533958,2418.52573124102,180,23,17,48
6989615,2415.97668860263,192,24,24,7
14806365,2414.3066292216,207,34,20,141
2511839,2409.52474479254,309,73,43,1336
6304246,2405.03351081499,115,23,16,362
11592896,2404.6234896833,166,19,13,58
11375105,2399.89784882328,132,19,15,153
3149577,2389.34757023173,253,33,40,126
10549880,2387.15851566337,173,26,16,2779
2291265,2386.83844089334,133,19,16,56
1473890,2386.46119287944,70,27,13,2336
6090175,2361.37046684475,188,15,23,593
1646397,2360.78145025357,142,19,21,2179
14362480,2356.58705168237,82,38,14,14730
7787629,2352.45848923401,70,21,13,58
9269034,2344.54314313639,169,19,18,2248
3257847,2344.40680130373,463,126,63,7
14758501,2340.89456357899,432,77,56,141
10760701,2329.72291540237,77,30,12,4640
13291701,2328.74703072119,259,37,34,363
3717598,2319.1346008778,85,22,17,1493
9362168,2318.37231547748,324,52,41,7
17911347,2316.40692153726,166,84,30,241
8364754,2314.10256809982,65,35,12,16668
6327638,2309.7375281713,111,19,19,1266
5472693,2308.54828483863,95,18,14,141
10434787,2306.70446593541,124,37,18,76
6303313,2294.73572792927,85,43,18,2784
5309981,2294.27918764311,375,87,68,276
6399568,2292.34218425727,108,28,25,1625
12779141,2291.46646573651,189,19,26,126
20087811,2291.15430153534,219,43,31,7
12959983,2285.68381926307,126,33,24,6
6867478,2284.98936859688,219,34,25,301
4383303,2283.81952740211,145,52,30,14155
7027766,2278.39057006062,111,21,14,1822
11380904,2274.71128299925,114,32,22,6776
11388931,2274.57691312217,60,30,11,152
5413624,2269.27420697088,355,49,43,215
10343292,2267.68414073189,87,16,15,2797
8660293,2266.27368016568,74,12,8,593
10728620,2265.39193431675,164,17,19,417
12578000,2256.86721212241,125,22,26,1773
4382220,2256.58473930602,214,72,35,120
284905,2255.07231560512,43,6,2,1665
5442251,2254.16343332368,92,28,16,3076
11129034,2250.25007392521,438,74,77,389
5981005,2249.42721900108,56,31,14,2236
7989469,2248.35314259297,462,76,59,1319
11920994,2245.94599135357,185,20,13,1079
6387149,2241.52833299088,195,27,40,48
16320893,2241.12411224427,550,125,90,38
12736534,2239.91184840032,79,27,14,6969
2472609,2237.85661922933,121,17,16,1587
20988374,2237.19496644251,152,17,16,2348
7512553,2237.18826915816,95,41,19,14047
4519494,2235.79656256917,123,9,15,58
6420308,2234.17083026453,171,25,23,1738
4399129,2231.61205660626,257,51,38,529
9027651,2231.12952777377,213,37,34,264
20461077,2230.38756721413,85,16,16,2197
5645231,2230.15632318639,120,15,6,363
1818573,2228.25731462914,172,36,18,409
5774823,2226.0889616796,62,11,10,301
8715276,2222.29486877451,154,35,23,268
7060756,2215.79571733608,140,31,24,245
17467899,2214.57628090018,498,143,79,7
