"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","11th","12th","13th","14th","15th","16th","Lag"
14106450,3050.80576132828,211,72,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
12408961,2957.92993725621,569,244,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
7813296,2898.38338917476,287,74,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
11375105,2806.17102664914,302,68,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583
7562902,2770.5195636919,93,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7385
2165650,2765.6120995773,667,172,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939
9694263,2758.62446345726,239,84,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096
11443437,2738.19973860863,1066,380,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
9313951,2673.43754818419,484,131,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
8152145,2665.65448932787,171,46,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312
8116659,2617.98052172558,193,52,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644
2546001,2617.02974839231,425,90,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
9405745,2611.48923160358,318,70,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183
1473890,2611.24379869833,99,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036
2511839,2603.22640867681,450,94,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
6304246,2595.34019436771,175,43,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
8640970,2589.67353647256,394,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
18092331,2587.26876083651,464,95,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
6989615,2583.89394813367,367,65,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251
7892320,2574.88708706995,349,68,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7756
2291265,2559.34440499785,231,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053
11198996,2551.81926021545,141,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7440
4734703,2548.21620652879,188,44,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
1646397,2542.56799039881,248,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4725
7003293,2536.62698883757,122,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755
7075211,2536.09750608422,229,34,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282
11552867,2535.81742928049,414,91,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
11592896,2518.73042183519,347,47,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1543
5645231,2517.88299724282,181,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282
12959983,2517.57635997599,297,65,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
9269034,2507.73844223435,288,50,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4083
8208289,2507.21303830834,271,31,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574
1876565,2503.83369860089,214,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1543
7787629,2501.97444728098,245,60,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
3533958,2482.74028264231,249,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282
3257847,2478.53215299841,853,210,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
3149577,2467.34245271388,356,49,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
14362480,2465.13956197242,150,50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
11226645,2461.33848413805,169,41,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144
6090175,2457.21531569141,402,38,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627
124493,2451.06277311725,71,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9448
5199332,2448.55887410041,310,71,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4036
9719351,2445.50783166992,195,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
8660293,2441.88127041124,141,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4822
22461441,2434.43322286959,370,115,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
5981005,2427.02779111698,71,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1607
11405734,2426.57888567354,318,104,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
1428455,2422.85225073854,107,39,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
8335950,2422.20468036197,92,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4383
13380270,2421.09214331448,248,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282
15173952,2420.68842348127,284,38,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
6387149,2417.04294347877,326,39,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3438
14806365,2415.22083944743,359,51,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
6327638,2414.41995702468,191,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
14758501,2412.74638343009,770,133,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
20087811,2410.92683387091,344,84,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
1818573,2409.2683061437,248,55,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418
11129034,2408.74509083657,686,119,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468
10676573,2408.3492657999,448,73,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15149
