"Player","Rating","Games","1st","2nd","3rd","4th","Lag"
14106450,3069.95304185562,258,86,40,0,0,2192
12408961,2959.69989158503,645,271,106,0,0,163
7813296,2879.57837004369,338,83,43,0,0,16
11375105,2818.40831499982,311,74,44,0,0,12851
11443437,2807.66769994174,1203,419,233,0,0,66
2165650,2783.85910418841,712,188,146,0,0,74
9694263,2773.50541509643,303,95,62,0,0,1154
7562902,2756.91340581077,97,24,20,0,0,16
2511839,2729.22839514065,576,134,91,0,0,66
6304246,2720.03252920775,237,63,36,0,0,878
1473890,2708.67859444885,134,49,25,0,0,1215
9405745,2704.26765651324,364,86,38,0,0,197
8640970,2695.23047230244,462,68,78,0,0,1283
8152145,2688.45166595085,251,69,32,0,0,897
9313951,2672.28682548914,499,136,104,0,0,25
8116659,2657.14343638624,211,64,28,0,0,622
3717598,2650.0106090336,145,37,26,0,0,163
5645231,2648.19622301982,295,47,39,0,0,878
2546001,2643.68410132504,447,94,64,0,0,1089
4734703,2642.30519092354,222,56,41,0,0,6867
18092331,2631.4037156757,639,127,60,0,0,83
7075211,2619.39043447837,327,44,53,0,0,1153
7027766,2618.89703595886,186,27,21,0,0,406
7787629,2615.18883770733,372,107,63,0,0,60
6989615,2596.94640825357,411,76,60,0,0,751
7892320,2596.91409700329,380,73,61,0,0,359
1646397,2592.16234849155,260,39,29,0,0,2609
3533958,2587.82466231916,336,45,39,0,0,5138
11592896,2583.01462963527,393,56,43,0,0,83
2291265,2582.34412063721,274,56,35,0,0,95
9719351,2566.84288190264,336,29,27,0,0,110
9269034,2555.05477004283,332,57,45,0,0,391
11198996,2551.81926021545,141,25,23,0,0,20910
7003293,2548.32843987445,133,45,21,0,0,6501
8443945,2541.0090908822,185,24,22,0,0,974
13380270,2532.61289146548,312,36,27,0,0,265
11552867,2530.39414147348,442,92,60,0,0,377
2472609,2514.45131213084,236,36,24,0,0,1533
12959983,2513.14125866836,427,92,52,0,0,124
5407620,2512.80360266232,245,14,18,0,0,258
1876565,2507.79466582459,223,34,34,0,0,1089
3149577,2507.39147204901,411,57,56,0,0,25
10073635,2503.24513469845,88,29,15,0,0,88
15173952,2499.83629863899,361,54,43,0,0,927
15296550,2499.72949317151,179,47,27,0,0,21
5981005,2499.17453707324,85,41,18,0,0,391
22461441,2494.98152178573,411,133,71,0,0,7117
5199332,2488.80215507906,334,72,59,0,0,391
14362480,2470.49843819994,195,62,30,0,0,8841
6090175,2467.28797536676,454,40,46,0,0,1557
8208289,2466.25242137624,342,36,33,0,0,205
6671641,2461.91833955172,399,48,27,0,0,659
11376152,2456.83966648479,403,103,81,0,0,391
10549880,2452.17088322799,235,35,23,0,0,1286
124493,2451.06277311725,71,19,19,0,0,22918
5309981,2449.97200425238,741,174,136,0,0,223
10651106,2449.35198394442,451,51,45,0,0,219
6387149,2445.05210987052,345,39,67,0,0,197
6327638,2444.30884588749,304,33,35,0,0,679
8660293,2441.88127041124,141,17,19,0,0,18292
14385814,2439.49350588016,477,66,57,0,0,602
20087811,2436.52704233442,425,102,61,0,0,379
10056419,2435.72002046754,269,42,28,0,0,676
16817965,2435.24467233597,101,26,15,0,0,377
11405734,2434.61558050347,329,104,48,0,0,11470
11226645,2434.43382964015,193,42,11,0,0,1089
13300203,2432.79905437906,217,41,31,0,0,163
284905,2431.59893450487,92,12,11,0,0,974
8195473,2431.10550630616,151,35,29,0,0,676
3257847,2428.72743592371,1112,258,164,0,0,148
4108547,2428.60634627604,197,18,12,0,0,878
13962152,2426.17743006563,84,28,19,0,0,8385
5447609,2426.17396193744,142,31,26,0,0,9143
8335950,2422.20468036197,92,28,11,0,0,17853
5177569,2419.2957908682,221,23,16,0,0,676
9052194,2419.1298209488,504,94,76,0,0,264
9474976,2415.89793715431,236,26,35,0,0,1422
10676573,2408.3492657999,448,73,51,0,0,28619
10728620,2404.02358375979,364,51,49,0,0,4
5774823,2403.35166390275,78,15,15,0,0,34170
6404027,2402.42152833025,199,22,36,0,0,60
14806365,2400.61375769666,404,54,40,0,0,751
3345902,2397.22253791316,69,6,12,0,0,12918
7802400,2395.88617119838,255,36,23,0,0,35
12760743,2395.07286025829,167,35,30,0,0,2063
11129034,2393.37377402592,800,136,126,0,0,66
5033077,2391.84918691727,73,28,7,0,0,922
1987591,2391.25553822003,166,3,7,0,0,2898
7081596,2389.19478115641,161,43,27,0,0,279
7010761,2388.25213589341,179,26,24,0,0,15066
11215030,2385.97554161145,225,43,45,0,0,197
10917620,2381.73990549171,434,61,33,0,0,70
14800198,2379.8152400973,180,17,11,0,0,5976
11794209,2378.97507832255,155,16,11,0,0,676
2012453,2378.4129044137,127,16,15,0,0,487
7657831,2374.01410560445,143,44,34,0,0,1555
11091594,2373.64897067282,154,19,17,0,0,287
6754508,2373.59071560984,135,32,16,0,0,2211
7630971,2371.59654178236,89,11,8,0,0,2137
4637369,2371.45461477425,177,48,35,0,0,2078
12736534,2370.68534129739,102,33,17,0,0,17587
10343292,2369.96541297783,266,48,45,0,0,216
10592853,2368.81419187932,258,27,38,0,0,241
11388931,2365.47002738385,77,39,15,0,0,37153
8581210,2364.97323571189,346,97,42,0,0,861
12378737,2362.34494637575,160,19,17,0,0,1155
9961301,2360.88858095342,168,33,40,0,0,2623
11987104,2359.40781998354,123,16,13,0,0,266
6867478,2357.42932580542,443,79,49,0,0,605
12779141,2354.42675170276,320,35,40,0,0,1089
2758279,2354.3357177998,141,17,15,0,0,1602
13065919,2349.39469755448,555,177,92,0,0,5
9921139,2348.92596856475,311,87,70,0,0,394
10077431,2343.78624947348,115,14,19,0,0,28596
16436446,2342.81507057694,336,65,42,0,0,83
8359561,2342.47540793926,774,147,151,0,0,66
5413624,2340.68540002031,558,71,55,0,0,493
7959945,2339.5326721816,93,9,7,0,0,3133
10325072,2337.58458743031,492,67,53,0,0,373
8445602,2333.82960582933,265,34,24,0,0,294
8802914,2333.04180693718,135,5,6,0,0,2340
11255340,2332.41860615054,943,211,123,0,0,124
10975777,2332.00655489161,96,13,7,0,0,1533
1355695,2330.79159581898,254,11,15,0,0,1744
11269055,2328.21012027144,407,24,28,0,0,1089
9712285,2327.17722609949,149,36,29,0,0,342
7512553,2326.30898292419,105,45,21,0,0,1430
10051720,2325.38899003641,203,8,14,0,0,197
8275006,2325.12684074812,132,24,19,0,0,598
17911347,2324.78416380621,301,141,51,0,0,139
