"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","Lag"
14106450,3227.0509204872,346,117,68,0,0,0,0,0,0,467
12408961,3127.94175388688,845,361,156,0,0,0,0,0,0,32
7562902,2886.63825692872,134,41,30,0,0,0,0,0,0,9614
7813296,2882.13961026154,454,108,61,0,0,0,0,0,0,271
11443437,2843.69567390623,1379,464,273,0,0,0,0,0,0,32
1473890,2837.61229024209,229,76,44,0,0,0,0,0,0,32
11375105,2821.89867501765,321,74,44,0,0,0,0,0,0,4062
2165650,2816.91713001343,803,209,154,0,0,0,0,0,0,467
8640970,2816.69606916789,603,106,112,0,0,0,0,0,0,32
9694263,2779.80714489435,424,112,81,0,0,0,0,0,0,218
2511839,2776.72285193962,703,164,118,0,0,0,0,0,0,32
3717598,2770.64609793211,248,55,46,0,0,0,0,0,0,467
8116659,2758.25578065289,255,85,34,0,0,0,0,0,0,2324
9405745,2724.85653953089,465,97,50,0,0,0,0,0,0,32
8152145,2719.33901237274,312,84,47,0,0,0,0,0,0,1113
18092331,2699.2916784426,890,196,95,0,0,0,0,0,0,23
10549880,2684.41061017234,316,48,37,0,0,0,0,0,0,1967
2546001,2672.04932234907,525,110,69,0,0,0,0,0,0,32
9313951,2666.00932639227,508,138,107,0,0,0,0,0,0,11812
1906975,2664.43603023593,141,56,33,0,0,0,0,0,0,989
6304246,2656.93406193167,278,72,38,0,0,0,0,0,0,3224
8007528,2642.20928076287,180,66,29,0,0,0,0,0,0,32
5645231,2637.13101871773,369,51,44,0,0,0,0,0,0,338
4734703,2636.47861024189,249,58,43,0,0,0,0,0,0,576
13380270,2634.81491373312,409,59,40,0,0,0,0,0,0,2
1646397,2621.99335613545,302,59,32,0,0,0,0,0,0,1297
7892320,2621.13743534258,416,77,71,0,0,0,0,0,0,214
16817965,2618.98202473427,170,50,33,0,0,0,0,0,0,391
7787629,2614.31129054057,426,110,73,0,0,0,0,0,0,32
13228917,2613.82517589465,266,49,28,0,0,0,0,0,0,525
11198996,2609.05246643776,159,30,29,0,0,0,0,0,0,32
9719351,2606.42600719889,527,66,54,0,0,0,0,0,0,921
11552867,2599.11376962145,586,110,73,0,0,0,0,0,0,32
6989615,2598.81094419578,459,87,69,0,0,0,0,0,0,925
10073635,2597.91867454391,111,35,24,0,0,0,0,0,0,1611
5309981,2591.44940201871,924,214,168,0,0,0,0,0,0,73
11226645,2584.77381987656,266,60,21,0,0,0,0,0,0,32
1719471,2584.10716730162,72,15,13,0,0,0,0,0,0,494
4108547,2581.19962481376,264,26,22,0,0,0,0,0,0,4
2291265,2581.1060502862,377,73,47,0,0,0,0,0,0,520
7027766,2580.74198492194,206,30,23,0,0,0,0,0,0,4341
11091594,2580.55165077264,234,31,33,0,0,0,0,0,0,501
12959983,2577.07443539352,577,122,77,0,0,0,0,0,0,450
8443945,2576.27850251997,262,36,31,0,0,0,0,0,0,32
5177569,2568.29813503818,272,34,23,0,0,0,0,0,0,32
3533958,2566.66283578273,342,45,40,0,0,0,0,0,0,8513
19998548,2557.76034928145,305,78,60,0,0,0,0,0,0,1895
11215030,2557.20069032437,309,54,50,0,0,0,0,0,0,32
9269034,2550.26563019147,344,58,45,0,0,0,0,0,0,4505
2472609,2549.52435979025,263,40,26,0,0,0,0,0,0,7347
5199332,2548.86972003349,372,86,64,0,0,0,0,0,0,32
7003293,2548.32843987445,133,45,21,0,0,0,0,0,0,20517
7075211,2542.07071096132,352,47,56,0,0,0,0,0,0,506
8788058,2541.43417600885,288,47,43,0,0,0,0,0,0,275
284905,2523.47124716858,102,16,12,0,0,0,0,0,0,9887
6404027,2518.32747842609,241,22,38,0,0,0,0,0,0,32
10056419,2517.72009856029,342,59,37,0,0,0,0,0,0,32
10717635,2517.09176707651,364,36,38,0,0,0,0,0,0,501
8208289,2514.97140438552,407,44,42,0,0,0,0,0,0,355
9052194,2512.99356105348,571,114,86,0,0,0,0,0,0,89
2012453,2509.89024252241,156,28,19,0,0,0,0,0,0,3259
11592896,2508.98373575601,513,59,54,0,0,0,0,0,0,339
15173952,2506.59651091368,415,57,45,0,0,0,0,0,0,2
5407620,2503.75143402371,304,21,24,0,0,0,0,0,0,32
10975777,2501.74772247812,170,26,17,0,0,0,0,0,0,245
13300203,2501.55684901146,280,50,36,0,0,0,0,0,0,4
5981005,2497.20584276673,110,45,21,0,0,0,0,0,0,697
6671641,2493.98700915677,547,55,40,0,0,0,0,0,0,450
124493,2493.14187399215,76,19,19,0,0,0,0,0,0,4066
11987104,2491.97529743446,173,25,22,0,0,0,0,0,0,1701
14385814,2489.68077143092,541,78,68,0,0,0,0,0,0,308
10343292,2485.32898711624,380,74,68,0,0,0,0,0,0,51
7802400,2484.78480931132,300,46,27,0,0,0,0,0,0,662
2590257,2484.43728863878,186,23,24,0,0,0,0,0,0,275
3149577,2482.51653753031,439,61,58,0,0,0,0,0,0,3307
7512553,2480.21344747334,116,54,22,0,0,0,0,0,0,11117
6404488,2479.2484928134,70,14,13,0,0,0,0,0,0,506
22461441,2478.71721779587,438,143,75,0,0,0,0,0,0,662
9712285,2477.24915848269,219,47,40,0,0,0,0,0,0,218
10651106,2476.74908197167,527,57,51,0,0,0,0,0,0,1081
12779141,2474.08888646264,383,44,40,0,0,0,0,0,0,344
14362480,2470.49843819994,195,62,30,0,0,0,0,0,0,22857
5033077,2468.31634355185,91,31,12,0,0,0,0,0,0,4
5447609,2465.82876026953,152,31,26,0,0,0,0,0,0,2324
8084370,2465.21046441009,188,30,31,0,0,0,0,0,0,5993
6090175,2462.15811663472,492,40,47,0,0,0,0,0,0,32
