"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","11th","12th","13th","14th","15th","16th","17th","18th","19th","20th","21th","22th","Lag"
14106450,3272.45546315921,493,161,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3347
12408961,3255.16237671167,1501,650,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843
8472976,3151.22501163793,713,276,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983
7562902,3100.64062706767,203,54,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3347
4787150,3006.58523991397,180,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26494
7813296,3001.26258342614,813,187,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983
1473890,3000.13249011446,625,200,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983
11443437,2983.63203345457,2030,680,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173
2165650,2945.57857625791,1223,334,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476
8116659,2943.03982762926,449,157,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6944
8640970,2890.8488479312,1120,225,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423
9405745,2870.56975640705,831,170,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335
5199332,2864.27599432435,650,146,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983
9694263,2843.82593874817,1121,236,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
10069909,2841.64156677546,575,107,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174
