"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","Lag"
14106450,3371.33947686507,607,206,120,0,0,0,0,0,0,0,0,3167
12408961,3284.0835442985,1705,720,303,0,0,0,0,0,0,0,0,27
7562902,3239.3972245836,245,74,47,0,0,0,0,0,0,0,0,165
8472976,3128.65863463654,974,364,215,0,0,0,0,0,0,0,0,1493
2165650,3107.71283472267,1478,399,245,0,0,0,0,0,0,0,0,418
7813296,3065.13800274988,992,217,133,0,0,0,0,0,0,0,0,456
8640970,3052.25175925233,1323,272,236,0,0,0,0,0,0,0,0,418
8116659,3011.73581744701,665,244,98,0,0,0,0,0,0,0,0,747
4787150,3006.58523991397,180,33,32,0,0,0,0,0,0,0,0,54149
11443437,2997.22943412908,2136,705,415,0,0,0,0,0,0,0,0,1570
11399348,2958.24714804058,552,156,87,0,0,0,0,0,0,0,0,162
1473890,2949.14646629318,655,202,114,0,0,0,0,0,0,0,0,16561
3717598,2945.77148005725,491,115,77,0,0,0,0,0,0,0,0,165
5199332,2943.60000700187,759,172,114,0,0,0,0,0,0,0,0,4182
9694263,2905.81812567106,1294,263,202,0,0,0,0,0,0,0,0,418
7341183,2899.21181952287,187,41,26,0,0,0,0,0,0,0,0,7378
7075211,2881.20056388045,746,101,93,0,0,0,0,0,0,0,0,3074
5339515,2876.32120536972,403,58,49,0,0,0,0,0,0,0,0,418
9405745,2871.44755954397,922,196,115,0,0,0,0,0,0,0,0,579
13380270,2866.31322452568,933,129,95,0,0,0,0,0,0,0,0,415
2511839,2855.39401245033,1137,253,188,0,0,0,0,0,0,0,0,27
19998548,2849.03990279577,723,170,107,0,0,0,0,0,0,0,0,4069
6304246,2840.21028368343,525,115,79,0,0,0,0,0,0,0,0,3088
10073635,2840.17393375674,313,64,43,0,0,0,0,0,0,0,0,2685
13300203,2834.22443533354,1060,273,186,0,0,0,0,0,0,0,0,329
4108547,2829.35814451342,715,86,63,0,0,0,0,0,0,0,0,418
2546001,2823.00802889051,1144,204,141,0,0,0,0,0,0,0,0,456
8007528,2821.8220528497,500,121,63,0,0,0,0,0,0,0,0,9511
5981005,2814.7600209477,240,73,34,0,0,0,0,0,0,0,0,961
4734703,2810.43193171929,774,124,116,0,0,0,0,0,0,0,0,413
16817965,2809.90882051677,794,158,108,0,0,0,0,0,0,0,0,753
6327638,2807.03138737091,825,84,87,0,0,0,0,0,0,0,0,19
1646397,2804.84758762111,715,114,83,0,0,0,0,0,0,0,0,27
2291265,2798.51035465607,905,183,128,0,0,0,0,0,0,0,0,51
4504101,2789.45851963037,134,12,15,0,0,0,0,0,0,0,0,165
5033077,2788.85568004631,581,96,57,0,0,0,0,0,0,0,0,67
1906975,2788.39900096932,179,76,39,0,0,0,0,0,0,0,0,44142
11375105,2788.28653072202,673,102,72,0,0,0,0,0,0,0,0,1271
11794209,2782.02755756904,784,129,99,0,0,0,0,0,0,0,0,357
10069909,2781.1011629846,660,110,73,0,0,0,0,0,0,0,0,162
8443945,2773.70420038941,561,83,63,0,0,0,0,0,0,0,0,185
9224078,2772.97882626305,275,19,34,0,0,0,0,0,0,0,0,165
124493,2772.54538509882,127,21,25,0,0,0,0,0,0,0,0,19351
8152145,2765.53390575033,475,114,68,0,0,0,0,0,0,0,0,672
5645231,2764.84938457199,700,77,80,0,0,0,0,0,0,0,0,1298
11091594,2761.2831895776,533,80,80,0,0,0,0,0,0,0,0,32350
9269034,2755.5201230968,643,105,78,0,0,0,0,0,0,0,0,165
15173952,2754.88229322737,977,127,114,0,0,0,0,0,0,0,0,466
7787629,2752.80451637042,599,136,96,0,0,0,0,0,0,0,0,61288
12736534,2751.65377528394,193,45,34,0,0,0,0,0,0,0,0,3434
3149577,2749.83915307154,1094,179,127,0,0,0,0,0,0,0,0,111
9712285,2739.45189486086,757,123,122,0,0,0,0,0,0,0,0,27
9052194,2738.07484313377,1228,216,181,0,0,0,0,0,0,0,0,4212
9938943,2737.22020224316,572,112,63,0,0,0,0,0,0,0,0,1139
10549880,2731.46162962586,537,77,60,0,0,0,0,0,0,0,0,917
10676573,2724.63355825436,1263,204,143,0,0,0,0,0,0,0,0,129
11552867,2723.25032965012,1274,197,158,0,0,0,0,0,0,0,0,1534
11854446,2722.44958369893,345,56,24,0,0,0,0,0,0,0,0,332
9719351,2716.17329886344,1275,151,130,0,0,0,0,0,0,0,0,106
4581069,2710.73633436006,342,68,44,0,0,0,0,0,0,0,0,769
12779141,2708.54933063603,640,89,79,0,0,0,0,0,0,0,0,94
10651106,2708.21063064333,1423,152,139,0,0,0,0,0,0,0,0,110
1876565,2707.09096238348,690,154,141,0,0,0,0,0,0,0,0,94
8335950,2706.72516328436,258,56,43,0,0,0,0,0,0,0,0,67
12366071,2701.90539854362,201,27,31,0,0,0,0,0,0,0,0,1379
2012453,2698.23994554392,599,128,94,0,0,0,0,0,0,0,0,1239
6754508,2698.06820411947,632,89,70,0,0,0,0,0,0,0,0,84
18092331,2695.66011498722,1576,331,204,0,0,0,0,0,0,0,0,239
8660293,2693.40361813011,409,70,55,0,0,0,0,0,0,0,0,3365
5447609,2692.48046434259,186,41,32,0,0,0,0,0,0,0,0,86630
7027766,2691.48527104581,280,39,27,0,0,0,0,0,0,0,0,12656
8105138,2691.42865967402,209,40,37,0,0,0,0,0,0,0,0,32332
12959983,2688.61334086192,1100,192,139,0,0,0,0,0,0,0,0,357
7333471,2685.78730952182,342,33,35,0,0,0,0,0,0,0,0,162
10975777,2683.31437481434,362,52,38,0,0,0,0,0,0,0,0,27
12760743,2676.89518720139,306,62,45,0,0,0,0,0,0,0,0,162
4346274,2675.79985523548,410,49,49,0,0,0,0,0,0,0,0,88
5423872,2672.12113579001,207,28,17,0,0,0,0,0,0,0,0,1459
10056419,2670.98546165502,944,162,106,0,0,0,0,0,0,0,0,521
4830687,2670.288705251,1284,136,123,0,0,0,0,0,0,0,0,456
11592896,2670.15522986396,928,93,94,0,0,0,0,0,0,0,0,418
3533958,2669.24054145312,694,78,76,0,0,0,0,0,0,0,0,127
1629553,2667.69968126669,134,32,21,0,0,0,0,0,0,0,0,51072
11376152,2666.99964835009,1127,222,183,0,0,0,0,0,0,0,0,418
